lemma,tfIdf_Charcot,tfIdf_Autres
tendon,0.0534249979292637,0.082
champ visuel,0.132444297192081,0.057
opératoire,0.0086142632320053,0.008
jambe droit,0.0204588751760126,0.03
moitié droit,0.0116789530356995,0.01
cellulaire,0.132775615008697,0.108
tions,0.286258593555868,0.146
gyrus,0.0375217427317154,0.147
hallucination,0.58129710925205,0.15
tique,0.202269527043817,0.062
organe génital,0.0127557359397002,0.04
iliaque,0.015323449018471,0.038
orifice,0.0131698832104696,0.027
ataxie,0.198045224881968,0.087
syphilis,0.311604406526961,0.209
orteil,0.0702393771225048,0.229
rieure,0.0578977884535741,0.109
membre inférieur,0.331897622794666,0.383
galvanique,0.0250973246086308,0.088
celte,0.0919406941108258,0.125
lobule,0.140230265882548,0.26
guérison,0.33496231259836,0.247
voûte,0.0110991468566222,0.065
cylindraxe,0.0489522074049532,0.075
féré,0.039426820177255,0.012
sillon,0.145531350948397,0.646
académie de médecine,0.0,0.05
déviation,0.0633645324277313,0.103
conjonctif,0.102708523150832,0.163
abdominal,0.0437339517932577,0.074
idée fixe,0.0699908887600431,0.033
puberté,0.0326348049366355,0.042
pyramidal,0.187857202021039,0.23
hémisphère,0.287252547005715,0.323
défectueux,0.0183881388221652,0.008
paupière,0.119605731798227,0.135
paralysie facial,0.049117866313261,0.05
insomnie,0.0463844943261824,0.028
urine,0.342913940197134,0.168
cervical,0.185289488942268,0.214
chiasma,0.00935972831939038,0.035
incontinence,0.0301499213120186,0.05
dortoir,0.0173113559181645,0.038
onanisme,0.0141638366603164,0.066
larynx,0.0159032551975482,0.012
oculaire,0.144868715315166,0.117
catalepsie,0.0702393771225048,0.066
lade,0.0241033711587841,0.02
tactile,0.0538391452000331,0.048
massage,0.00836577486954361,0.026
médian,0.137828211712085,0.272
emblée,0.0176426737347801,0.006
migraine,0.0871365857698998,0.035
sanguin,0.0855628261409757,0.028
artériel,0.066015074960656,0.014
brachial,0.0396753085397167,0.061
protubérance,0.0719787956597366,0.098
strabisme,0.0115132941273917,0.026
pair,0.0086970926861592,0.05
congestion,0.0479582539551064,0.03
thèse de pari,0.037853060548331,0.054
ponction,0.030564068582788,0.1
diarrhée,0.0152406195643171,0.042
dendrite,0.0914437173859024,0.184
scléreux,0.0188022860929347,0.029
laires,0.0130870537563157,0.013
morphine,0.0332146111157128,0.028
facial,0.285595957922637,0.182
fibreux,0.0300670918578647,0.11
paralytique,0.348794831442061,0.066
démence,0.35600099395345,0.046
globule,0.0205417046301665,0.027
cortical,0.301002236395262,0.14
musculaire,0.700820011596124,0.534
ouïe,0.110080344570529,0.029
myéline,0.0961649962726746,0.129
coloration,0.11413898782407,0.119
phie,0.00596372069908059,0.034
ques,0.131947320467158,0.114
ques,0.0268367431458627,0.114
pli courbe,0.0203760457218587,0.07
osseux,0.0906982522985173,0.309
myélite,0.125652281951462,0.08
lombaire,0.140810072061625,0.264
pott,0.00977387559015986,0.039
gaine,0.0667605400480411,0.109
cordon postérieur,0.149672823656092,0.15
exagéré,0.00513542615754162,0.006
couche optique,0.0832436014246666,0.196
saillant,0.018553797730473,0.095
surdité,0.0771142218172782,0.027
frontal,0.34473618818852,0.507
rieur,0.0824981363372815,0.131
môme,0.0475441066843369,0.095
longitudinal,0.0362793009194069,0.199
reil,0.0263397664209393,0.155
rate,0.0240205417046302,0.011
accident nerveux,0.00853143377785141,0.008
viscéral,0.0335459289323283,0.007
appréciable,0.0738838731052763,0.063
estomac,0.101963058063447,0.054
hystérie,0.689223888014578,0.408
pulmonaire,0.107181313675143,0.056
œdème,0.0998923217095999,0.184
sion,0.129876584113311,0.067
contraction,0.22869212291891,0.295
gastrique,0.0562411993704961,0.017
radiculaire,0.0911123995692868,0.249
sensoriel,0.201606891410586,0.059
ganglion,0.146111157127475,0.25
partie postérieur,0.0359479831027914,0.091
tare,0.0574008117286507,0.017
tact,0.0175598442806262,0.008
tion,0.668930671746873,0.375
latéral,0.339600762030978,0.369
fibrille,0.0307297274910958,0.032
ventricule,0.106187360225296,0.337
ture,0.032220657665866,0.034
dorsal,0.23167398326845,0.356
toux,0.0155719373809327,0.028
néoplasme,0.00687484469477346,0.048
